participant_id,statement_id,issue_context,statement_true,explanation_condition,pre_belief_rating,post_belief_rating,topic_knowledge,pre_truth_aligned_accuracy,post_truth_aligned_accuracy,accuracy_change
P0001,bones,neutral,TRUE,deceptive,7,6,3,7,6,-1
P0001,climate,controversial,TRUE,accurate,7,7,3,7,7,0
P0001,election,controversial,TRUE,accurate,6,7,5,6,7,1
P0001,great_wall,neutral,FALSE,deceptive,1,1,2,7,7,0
P0001,gun_control,controversial,FALSE,accurate,3,5,4,5,3,-2
P0001,lightning,neutral,FALSE,deceptive,5,7,3,3,1,-2
P0001,vaccines,controversial,FALSE,accurate,1,1,4,7,7,0
P0001,water_boil,neutral,TRUE,accurate,7,7,4,7,7,0
P0002,bones,neutral,TRUE,accurate,6,7,5,6,7,1
P0002,climate,controversial,TRUE,deceptive,7,4,4,7,4,-3
P0002,election,controversial,TRUE,accurate,6,6,5,6,6,0
P0002,great_wall,neutral,FALSE,accurate,1,1,1,7,7,0
P0002,gun_control,controversial,FALSE,deceptive,3,3,2,5,5,0
P0002,lightning,neutral,FALSE,accurate,4,6,1,4,2,-2
P0002,vaccines,controversial,FALSE,accurate,1,1,3,7,7,0
P0002,water_boil,neutral,TRUE,accurate,7,7,6,7,7,0
P0003,bones,neutral,TRUE,accurate,2,1,1,2,1,-1
P0003,climate,controversial,TRUE,accurate,7,7,2,7,7,0
P0003,election,controversial,TRUE,deceptive,1,1,6,1,1,0
P0003,great_wall,neutral,FALSE,accurate,5,4,2,3,4,1
P0003,gun_control,controversial,FALSE,accurate,3,3,2,5,5,0
P0003,lightning,neutral,FALSE,deceptive,5,5,2,3,3,0
P0003,vaccines,controversial,FALSE,accurate,2,2,3,6,6,0
P0003,water_boil,neutral,TRUE,deceptive,7,6,6,7,6,-1
P0004,bones,neutral,TRUE,deceptive,5,3,1,5,3,-2
P0004,climate,controversial,TRUE,deceptive,7,7,7,7,7,0
P0004,election,controversial,TRUE,deceptive,7,7,7,7,7,0
P0004,great_wall,neutral,FALSE,accurate,1,1,6,7,7,0
P0004,gun_control,controversial,FALSE,accurate,2,2,6,6,6,0
P0004,lightning,neutral,FALSE,accurate,2,1,4,6,7,1
P0004,vaccines,controversial,FALSE,accurate,1,1,6,7,7,0
P0004,water_boil,neutral,TRUE,accurate,7,7,7,7,7,0
P0005,bones,neutral,TRUE,accurate,6,6,4,6,6,0
P0005,climate,controversial,TRUE,accurate,7,7,6,7,7,0
P0005,election,controversial,TRUE,deceptive,7,7,6,7,7,0
P0005,great_wall,neutral,FALSE,deceptive,1,1,4,7,7,0
