participant_id,trust_item_1,trust_item_2,trust_item_3,trust_item_4,trust_item_5,trust_item_6,trust_ai,critical_evaluation,literacy_item_1_response,literacy_item_2_response,literacy_item_3_response,literacy_item_4_response,literacy_item_1_correct,literacy_item_2_correct,literacy_item_3_correct,literacy_item_4_correct,ai_literacy_proportion,political_ideology
P0001,5,2,4,2,4,4,3.5,5,2,,1,1,1,,0,1,0.6666666666666666,2
P0002,4,4,2,3,4,4,3.5,4,1,3,2,1,0,1,1,1,0.75,5
P0003,6,6,2,2,2,4,3.6666666666666665,6,2,3,2,1,1,1,1,1,1,2
P0004,5,5,1,1,1,4,2.8333333333333335,7,1,3,2,1,0,1,1,1,0.75,0
P0005,2,1,1,1,1,1,1.1666666666666667,7,1,3,2,1,0,1,1,1,0.75,0
P0006,5,5,4,3,3,4,4,5,1,3,2,2,0,1,1,0,0.5,3
P0007,4,4,1,1,1,4,2.5,5,2,3,,,1,1,,,,7
P0008,2,2,2,3,3,3,2.5,7,,,,,,,,,,6
P0009,2,2,1,1,1,1,1.3333333333333333,7,2,3,2,1,1,1,1,1,1,1
P0010,5,4,4,2,3,4,3.6666666666666665,6,2,2,,2,1,0,,0,0.3333333333333333,2
P0011,2,4,1,1,3,1,2,6,,,,2,,,,0,,0
P0012,6,5,4,2,2,3,3.6666666666666665,5,2,3,2,1,1,1,1,1,1,6
P0013,5,5,4,1,1,1,2.8333333333333335,5,1,3,2,,0,1,1,,0.6666666666666666,1
P0014,5,4,3,3,3,3,3.5,7,2,3,2,1,1,1,1,1,1,4
P0015,5,5,3,3,3,5,4,6,2,3,2,1,1,1,1,1,1,2
P0016,3,3,2,2,2,2,2.3333333333333335,7,2,3,2,1,1,1,1,1,1,3
P0017,3,5,2,1,1,2,2.3333333333333335,7,2,3,2,1,1,1,1,1,1,1
P0018,4,5,2,2,2,4,3.1666666666666665,7,2,3,2,1,1,1,1,1,1,2
P0019,5,5,5,5,5,5,5,1,2,3,2,2,1,1,1,0,0.75,7
P0020,6,5,4,2,3,4,4,5,2,2,2,1,1,0,1,1,0.75,5
P0021,2,2,1,2,1,1,1.5,4,1,1,,4,0,0,,0,0,6
P0022,4,4,6,1,4,4,3.8333333333333335,6,2,3,,,1,1,,,,4
P0023,2,2,3,1,4,4,2.6666666666666665,6,2,3,2,1,1,1,1,1,1,2
P0024,5,6,4,3,4,4,4.333333333333333,2,2,2,2,1,1,0,1,1,0.75,5
P0025,6,6,6,1,4,4,4.5,6,2,3,2,1,1,1,1,1,1,3
P0026,4,5,4,4,4,4,4.166666666666667,6,2,3,2,1,1,1,1,1,1,5
P0027,3,3,4,1,4,4,3.1666666666666665,6,1,3,2,1,0,1,1,1,0.75,2
P0028,4,6,4,2,5,5,4.333333333333333,3,1,3,2,1,0,1,1,1,0.75,1
P0029,4,4,4,4,4,4,4,6,1,2,2,1,0,0,1,1,0.5,2
P0030,3,5,4,2,3,3,3.3333333333333335,5,2,3,2,1,1,1,1,1,1,2
P0031,4,5,4,3,4,4,4,5,2,3,2,1,1,1,1,1,1,5
P0032,5,3,4,1,1,4,3,2,3,3,2,2,0,1,1,0,0.5,4
P0033,5,5,4,1,1,4,3.3333333333333335,7,3,2,2,1,0,0,1,1,0.5,2
P0034,1,2,1,1,1,1,1.1666666666666667,7,2,3,2,1,1,1,1,1,1,4
P0035,5,5,3,1,2,2,3,5,,3,2,1,,1,1,1,1,8
P0036,3,5,4,1,3,4,3.3333333333333335,7,1,3,2,1,0,1,1,1,0.75,4
P0037,1,3,1,1,1,1,1.3333333333333333,6,2,3,2,1,1,1,1,1,1,1
P0038,3,5,2,2,2,2,2.6666666666666665,6,2,2,2,1,1,0,1,1,0.75,1
P0039,5,5,5,2,4,4,4.166666666666667,5,2,3,2,1,1,1,1,1,1,5
P0040,3,2,1,1,2,2,1.8333333333333333,7,2,3,2,1,1,1,1,1,1,5
P0041,7,6,5,4,4,5,5.166666666666667,5,2,3,,,1,1,,,,4
P0042,5,5,3,3,3,3,3.6666666666666665,3,2,3,2,1,1,1,1,1,1,8
P0043,3,3,3,3,3,3,3,5,2,1,2,2,1,0,1,0,0.5,3
P0044,6,5,5,4,4,4,4.666666666666667,7,2,3,2,1,1,1,1,1,1,
P0045,7,7,4,1,1,4,4,7,2,3,2,1,1,1,1,1,1,6
P0046,5,5,1,1,1,2,2.5,5,1,3,2,1,0,1,1,1,0.75,3
